Season,Team,matches_home,goals_for_home,goals_against_home,points_home,matches_away,goals_for_away,goals_against_away,points_away,Matches,GoalsFor,GoalsAgainst,Points,AvgPointsLast5,AvgGFLast5,AvgGALast5
epl_2019_2020,Arsenal,19,36,24,36,19,20,24,20,38,56,48,56,6.891891891891892,6.918918918918919,5.891891891891892
epl_2019_2020,Aston Villa,19,22,30,24,19,19,37,11,38,41,67,35,4.027027027027027,5.108108108108108,8.756756756756756
epl_2019_2020,Bournemouth,19,22,30,21,19,18,35,13,38,40,65,34,4.0,4.702702702702703,8.216216216216216
epl_2019_2020,Brighton,19,20,27,22,19,19,27,19,38,39,54,41,4.945945945945946,4.891891891891892,6.72972972972973
epl_2019_2020,Burnley,19,24,23,28,19,19,27,26,38,43,50,54,6.756756756756757,5.297297297297297,6.351351351351352
epl_2019_2020,Chelsea,19,30,16,36,19,39,38,30,38,69,54,66,8.18918918918919,8.567567567567568,6.54054054054054
epl_2019_2020,Crystal Palace,19,15,20,23,19,16,30,20,38,31,50,43,5.675675675675675,4.0,6.054054054054054
epl_2019_2020,Everton,19,24,21,31,19,20,35,18,38,44,56,49,6.1891891891891895,5.594594594594595,6.891891891891892
epl_2019_2020,Leicester,19,35,17,37,19,32,24,25,38,67,41,62,8.108108108108109,8.81081081081081,4.702702702702703
epl_2019_2020,Liverpool,19,52,16,55,19,33,17,44,38,85,33,99,12.513513513513514,10.324324324324325,3.7567567567567566
epl_2019_2020,Man City,19,57,13,47,19,45,22,34,38,102,35,81,9.72972972972973,12.108108108108109,4.648648648648648
epl_2019_2020,Man United,19,40,17,37,19,26,19,29,38,66,36,66,8.027027027027026,8.18918918918919,4.648648648648648
epl_2019_2020,Newcastle,19,20,21,26,19,18,37,18,38,38,58,44,5.837837837837838,4.864864864864865,6.945945945945946
epl_2019_2020,Norwich,19,19,37,15,19,7,38,6,38,26,75,21,2.8378378378378377,3.4864864864864864,8.891891891891891
epl_2019_2020,Sheffield United,19,24,15,33,19,15,24,21,38,39,39,54,7.054054054054054,4.945945945945946,4.594594594594595
epl_2019_2020,Southampton,19,21,35,21,19,30,25,31,38,51,60,52,6.135135135135135,6.054054054054054,7.756756756756757
epl_2019_2020,Tottenham,19,36,17,39,19,25,30,20,38,61,47,59,7.081081081081081,7.4324324324324325,6.081081081081081
epl_2019_2020,Watford,19,22,27,24,19,14,37,10,38,36,64,34,4.351351351351352,4.351351351351352,7.486486486486487
epl_2019_2020,West Ham,19,30,33,22,19,19,29,17,38,49,62,39,4.621621621621622,5.918918918918919,8.027027027027026
epl_2019_2020,Wolves,19,27,19,31,19,24,21,28,38,51,40,59,7.405405405405405,6.4324324324324325,5.027027027027027
epl_2020_2021,Arsenal,19,24,21,28,19,31,18,33,38,55,39,61,7.027027027027027,6.54054054054054,5.108108108108108
epl_2020_2021,Aston Villa,19,29,27,25,19,26,19,30,38,55,46,55,6.648648648648648,6.756756756756757,5.648648648648648
epl_2020_2021,Brighton,19,22,22,21,19,18,24,20,38,40,46,41,5.054054054054054,4.891891891891892,5.54054054054054
epl_2020_2021,Burnley,19,14,27,18,19,19,28,21,38,33,55,39,5.108108108108108,4.324324324324325,6.594594594594595
epl_2020_2021,Chelsea,19,31,18,33,19,27,18,34,38,58,36,67,8.486486486486486,7.324324324324325,4.351351351351352
epl_2020_2021,Crystal Palace,19,20,32,23,19,21,34,21,38,41,66,44,5.621621621621622,5.081081081081081,8.0
epl_2020_2021,Everton,19,24,28,22,19,23,20,37,38,47,48,59,7.513513513513513,6.216216216216216,5.72972972972973
epl_2020_2021,Fulham,19,9,28,10,19,18,25,18,38,27,53,28,3.675675675675676,3.4594594594594597,6.378378378378378
epl_2020_2021,Leeds,19,28,21,29,19,34,33,30,38,62,54,59,6.837837837837838,7.27027027027027,7.054054054054054
epl_2020_2021,Leicester,19,34,30,28,19,34,20,38,38,68,50,66,8.64864864864865,8.513513513513514,5.675675675675675
epl_2020_2021,Liverpool,19,29,20,33,19,39,22,36,38,68,42,69,8.108108108108109,8.162162162162161,5.486486486486487
epl_2020_2021,Man City,19,43,17,41,19,40,15,45,38,83,32,86,10.891891891891891,9.891891891891891,3.6486486486486487
epl_2020_2021,Man United,19,38,28,31,19,35,16,43,38,73,44,74,9.405405405405405,9.18918918918919,5.243243243243243
epl_2020_2021,Newcastle,19,26,33,23,19,20,29,22,38,46,62,45,5.1891891891891895,5.378378378378378,7.891891891891892
epl_2020_2021,Sheffield United,19,12,27,16,19,8,36,7,38,20,63,23,2.4594594594594597,2.4864864864864864,8.18918918918919
epl_2020_2021,Southampton,19,28,25,27,19,19,43,16,38,47,68,43,5.405405405405405,5.945945945945946,8.378378378378379
epl_2020_2021,Tottenham,19,35,20,33,19,33,25,29,38,68,45,62,7.648648648648648,8.216216216216216,5.4324324324324325
epl_2020_2021,West Brom,19,15,39,15,19,20,37,11,38,35,76,26,3.4864864864864864,4.324324324324325,9.18918918918919
epl_2020_2021,West Ham,19,32,22,34,19,30,25,31,38,62,47,65,7.891891891891892,7.513513513513513,6.081081081081081
epl_2020_2021,Wolves,19,21,25,25,19,15,27,20,38,36,52,45,5.891891891891892,4.594594594594595,6.405405405405405
epl_2021_2022,Arsenal,19,35,17,41,19,26,31,28,38,61,48,69,8.675675675675675,7.405405405405405,5.8108108108108105
epl_2021_2022,Aston Villa,19,29,29,23,19,23,25,22,38,52,54,45,5.8108108108108105,6.4324324324324325,6.5675675675675675
epl_2021_2022,Brentford,19,22,21,24,19,26,35,22,38,48,56,46,5.621621621621622,5.783783783783784,6.918918918918919
epl_2021_2022,Brighton,19,19,23,22,19,23,21,29,38,42,44,51,5.945945945945946,4.621621621621622,5.648648648648648
epl_2021_2022,Burnley,19,18,25,21,19,16,28,14,38,34,53,35,4.54054054054054,4.243243243243243,6.513513513513513
epl_2021_2022,Chelsea,19,37,22,34,19,39,11,40,38,76,33,74,9.18918918918919,9.54054054054054,4.081081081081081
epl_2021_2022,Crystal Palace,19,27,17,29,19,23,29,19,38,50,46,48,5.756756756756757,6.216216216216216,5.783783783783784
epl_2021_2022,Everton,19,27,25,29,19,16,41,10,38,43,66,39,4.8108108108108105,5.135135135135135,7.756756756756757
epl_2021_2022,Leeds,19,19,38,18,19,23,41,20,38,42,79,38,4.621621621621622,5.243243243243243,9.972972972972974
epl_2021_2022,Leicester,19,34,23,34,19,28,36,18,38,62,59,52,6.108108108108108,7.135135135135135,7.594594594594595
epl_2021_2022,Liverpool,19,49,9,49,19,45,17,43,38,94,26,92,11.324324324324325,11.837837837837839,3.135135135135135
epl_2021_2022,Man City,19,58,15,47,19,41,11,46,38,99,26,93,11.567567567567568,11.972972972972974,2.945945945945946
epl_2021_2022,Man United,19,32,22,35,19,25,35,23,38,57,57,58,7.54054054054054,7.378378378378378,7.0
epl_2021_2022,Newcastle,19,26,27,30,19,18,35,19,38,44,62,49,5.8108108108108105,5.378378378378378,7.783783783783784
epl_2021_2022,Norwich,19,12,43,12,19,11,41,10,38,23,84,22,2.864864864864865,3.0,10.054054054054054
epl_2021_2022,Southampton,19,23,24,25,19,20,43,15,38,43,67,40,5.378378378378378,5.45945945945946,7.891891891891892
epl_2021_2022,Tottenham,19,38,19,40,19,31,21,31,38,69,40,71,8.486486486486486,8.162162162162161,5.324324324324325
epl_2021_2022,Watford,19,17,46,8,19,17,31,15,38,34,77,23,3.027027027027027,4.324324324324325,9.486486486486486
epl_2021_2022,West Ham,19,33,26,32,19,27,25,24,38,60,51,56,7.216216216216216,7.378378378378378,6.135135135135135
epl_2021_2022,Wolves,19,20,25,24,19,18,18,27,38,38,43,51,6.72972972972973,4.702702702702703,4.702702702702703
epl_2022_2023,Arsenal,19,53,25,45,19,35,18,39,38,88,43,84,10.702702702702704,11.027027027027026,5.4324324324324325
epl_2022_2023,Aston Villa,19,33,21,38,19,18,25,23,38,51,46,61,7.486486486486487,6.351351351351352,5.8108108108108105
epl_2022_2023,Bournemouth,19,20,28,22,19,17,43,17,38,37,71,39,5.1891891891891895,4.837837837837838,9.0
epl_2022_2023,Brentford,19,35,18,37,19,23,28,22,38,58,46,59,6.918918918918919,7.162162162162162,6.027027027027027
epl_2022_2023,Brighton,19,37,21,34,19,35,32,28,38,72,53,62,7.945945945945946,9.108108108108109,6.486486486486487
epl_2022_2023,Chelsea,19,20,19,25,19,18,28,19,38,38,47,44,5.675675675675675,4.702702702702703,5.5675675675675675
