Season,Team,matches_home,goals_for_home,goals_against_home,points_home,matches_away,goals_for_away,goals_against_away,points_away,Matches,GoalsFor,GoalsAgainst,Points
epl_2019_2020,Arsenal,19,36,24,36,19,20,24,20,38,56,48,56
epl_2019_2020,Aston Villa,19,22,30,24,19,19,37,11,38,41,67,35
epl_2019_2020,Bournemouth,19,22,30,21,19,18,35,13,38,40,65,34
epl_2019_2020,Brighton,19,20,27,22,19,19,27,19,38,39,54,41
epl_2019_2020,Burnley,19,24,23,28,19,19,27,26,38,43,50,54
epl_2019_2020,Chelsea,19,30,16,36,19,39,38,30,38,69,54,66
epl_2019_2020,Crystal Palace,19,15,20,23,19,16,30,20,38,31,50,43
epl_2019_2020,Everton,19,24,21,31,19,20,35,18,38,44,56,49
epl_2019_2020,Leicester,19,35,17,37,19,32,24,25,38,67,41,62
epl_2019_2020,Liverpool,19,52,16,55,19,33,17,44,38,85,33,99
epl_2019_2020,Man City,19,57,13,47,19,45,22,34,38,102,35,81
epl_2019_2020,Man United,19,40,17,37,19,26,19,29,38,66,36,66
epl_2019_2020,Newcastle,19,20,21,26,19,18,37,18,38,38,58,44
epl_2019_2020,Norwich,19,19,37,15,19,7,38,6,38,26,75,21
epl_2019_2020,Sheffield United,19,24,15,33,19,15,24,21,38,39,39,54
epl_2019_2020,Southampton,19,21,35,21,19,30,25,31,38,51,60,52
epl_2019_2020,Tottenham,19,36,17,39,19,25,30,20,38,61,47,59
epl_2019_2020,Watford,19,22,27,24,19,14,37,10,38,36,64,34
epl_2019_2020,West Ham,19,30,33,22,19,19,29,17,38,49,62,39
epl_2019_2020,Wolves,19,27,19,31,19,24,21,28,38,51,40,59
epl_2020_2021,Arsenal,19,24,21,28,19,31,18,33,38,55,39,61
epl_2020_2021,Aston Villa,19,29,27,25,19,26,19,30,38,55,46,55
epl_2020_2021,Brighton,19,22,22,21,19,18,24,20,38,40,46,41
epl_2020_2021,Burnley,19,14,27,18,19,19,28,21,38,33,55,39
epl_2020_2021,Chelsea,19,31,18,33,19,27,18,34,38,58,36,67
epl_2020_2021,Crystal Palace,19,20,32,23,19,21,34,21,38,41,66,44
epl_2020_2021,Everton,19,24,28,22,19,23,20,37,38,47,48,59
epl_2020_2021,Fulham,19,9,28,10,19,18,25,18,38,27,53,28
epl_2020_2021,Leeds,19,28,21,29,19,34,33,30,38,62,54,59
epl_2020_2021,Leicester,19,34,30,28,19,34,20,38,38,68,50,66
epl_2020_2021,Liverpool,19,29,20,33,19,39,22,36,38,68,42,69
epl_2020_2021,Man City,19,43,17,41,19,40,15,45,38,83,32,86
epl_2020_2021,Man United,19,38,28,31,19,35,16,43,38,73,44,74
epl_2020_2021,Newcastle,19,26,33,23,19,20,29,22,38,46,62,45
epl_2020_2021,Sheffield United,19,12,27,16,19,8,36,7,38,20,63,23
epl_2020_2021,Southampton,19,28,25,27,19,19,43,16,38,47,68,43
epl_2020_2021,Tottenham,19,35,20,33,19,33,25,29,38,68,45,62
epl_2020_2021,West Brom,19,15,39,15,19,20,37,11,38,35,76,26
epl_2020_2021,West Ham,19,32,22,34,19,30,25,31,38,62,47,65
epl_2020_2021,Wolves,19,21,25,25,19,15,27,20,38,36,52,45
epl_2021_2022,Arsenal,19,35,17,41,19,26,31,28,38,61,48,69
